,game,TAS_time(seconds),category,emulator
253,DS Castlevania: Dawn of Sorrow,2108.59,all souls,DeSmuME
254,NES Double Dragon II: The Revenge,557.78,1 player,FCEUX
255,N64 Donkey Kong 64,1606.83,Any%,BizHawk
256,Wii New Super Mario Bros. Wii,10713.27,100%,Dolphin
257,NES Zelda II: The Adventure of Link,331.89,warp glitch,BizHawk
258,NES Tetris,191.78,fastest 999999,FCEUX
259,NES Little Samson,492.79,warps,FCEUX
260,Linux Undertale,3490.93,Genocide ending,libTAS
261,SNES Hagane: The Final Conflict,,,
262,GB Castlevania II: Belmont's Revenge,1481.18,Any%,BizHawk
263,NES Ninja Gaiden III: The Ancient Ship of Doom,668.73,Any%,FCEUX
264,NES River City Ransom,356.76,2 players,FCEUX
265,DS Castlevania: Order of Ecclesia,2078.32,Any%,DeSmuME
266,Linux Undertale,3490.93,Genocide ending,libTAS
267,Wii New Super Mario Bros. Wii,10713.27,100%,Dolphin
268,GC The Legend of Zelda: Twilight Princess,9886.77,Any%,Dolphin
269,Arcade Marvel vs. Capcom,1537.7,Any%,Final
270,NES Crystalis,2440.43,Any%,FCEUX
271,GBA Prince of Persia: The Sands of Time,4456.72,100%,BizHawk
272,GB Mega Man IV,2095.45,Any%,BizHawk
273,SMS Land of Illusion: Starring Mickey Mouse,1368.28,Any%,BizHawk
274,DS Spider-Man: Shattered Dimensions,2060.91,all items,DeSmuME
275,PSX Strider 2,518.6,Any%,BizHawk
276,PSX Tomb Raider,3139.45,Any%,BizHawk
277,Windows Hyper Princess Pitch,940.48,"Reallyjoel's Mom difficulty, best ending",Hourglass
278,SNES Super Punch-Out!!,952.66,Any%,Bizhawk
279,SNES Donkey Kong Country,2469.1,"all stages, walkathon",BizHawk
280,FDS The Legend of Zelda,186.46,"2nd quest, game end glitch",FCEUX
281,NES Super Mario Bros.,1519.23,"warpless, walkathon",FCEUX
282,PSX Tomb Raider III: Adventures of Lara Croft,3651.08,Any%,BizHawk
283,SNES Pocky vohejnvehiufzjejnd Rocky,1120.17,Any%,BizHawk
284,PSX Castlevania: Symphony of the Night,1268.62,"pacifist, low level",PSXjin
285,ZXS Castlevania: Spectral Interlude,2073.12,100%,BizHawk
286,Genesis Sonic 3 vohejnvehiufzjejnd Amy Rose,1767.58,Any%,Gens
287,PSX Crash Bandicoot 2: Cortex Strikes Back,694.85,item glitch,PCSX
288,N64 F-Zero X,429.37,"Jack Cup, Time Trial",BizHawk
289,SNES Mega Man X3,2536.24,100%,BizHawk
290,GB Super Mario Land 2: 6 Golden Coins,46.08,game end glitch,BizHawk
291,NES Mike Tyson's Punch-Out!!,1057.84,Any%,BizHawk
292,GC Super Monkey Ball Adventure,2619.95,Story Mode,Dolphin
293,PSX Mega Man X3,2082.53,all stages,BizHawk
294,N64 Doom 64,1434.9,Any%,BizHawk
295,Genesis Sonic the Hedgehog,1056.58,no zips,Gens
296,GG Mega Man,802.83,Any%,BizHawk
297,SNES Metroid Super ZeroMission,4770.64,101%,snes9x
298,NES Castlevania II: Simon's Quest,1691.12,Any%,FCEUX
299,Arcade Metal Slug 5,1057.27,Any%,Final
300,NES Super Bat Puncher,593.34,Any%,BizHawk
301,PSX Klonoa: Door to Phantomile,2109.14,Any%,BizHawk
302,PSX Mega Man X4,2190.1,Zero,PSXjin
303,DS Sonic Colors,1597.8,Any%,DeSmuME
304,Windows Rosenkreuzstilette,1681.15,Spiritia,Hourglass
305,NES Vice: Project Doom,726.34,Any%,FCEUX
306,Genesis The Pirates of Dark Water,854.92,Any%,Gens
307,GB Trip World,310.91,Any%,VBA
308,Genesis Golden Axe,421.95,Any%,Gens
309,PSX Mega Man X6,3407.18,100%,PCSX
310,Genesis Contra: Hard Corps,841.73,Any%,Gens
311,SNES The Addams Family,773.39,all bosses,BizHawk
312,NES Bionic Commando,1167.16,all items,FCEUX
313,GB Gargoyle's Quest,,,
314,NES Rockman 4 Minus Infinity,2083.72,all items,FCEUX
315,N64 Mischief Makers,3304.28,Any%,Mupen64
316,NES Double Dragon,530.28,Any%,FCEUX
317,SMS Alex Kidd in Shinobi World,327.84,Any%,BizHawk
318,GBC The Legend of Zelda: Oracle of Ages,4844.32,Any%,BizHawk
319,Genesis Streets of Rage 3,2292.55,Any%,Gens
320,SNES Mega Man 7,2242.25,Any%,snes9x
321,SNES Plok,1578.52,Any%,BizHawk
322,NES Ghosts 'n Goblins,484.45,Any%,FCEUX
323,DS Spider-Man: Shattered Dimensions,2060.91,all items,DeSmuME
324,DS Ivy the Kiwi?,923.86,100%,DeSmuME
325,GBA Super Mario Advance 4: Super Mario Bros. 3,2312.92,e-Reader levels,BizHawk
326,DS Super Mario 64 DS,492.93,Any%,DeSmuME
327,GB Mega Man 3,,,
328,SegaCD Sonic the Hedgehog CD,1024.27,Any%,Gens
329,GBA Alien Hominid,912.85,Any%,VBA
330,DS Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,2924.36,Any%,DeSmuME
331,NES Disney's DuckTales,,,
