,game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher,TAS_time,emulator,time_difference,%_of_difference
16,Banjo-Kazooie: Grunty's Revenge,Any%,Banjo-Kazooie: Grunty's Revenge - Any%,2678.0,2003,18,18,Game Boy Advance,,,,,2533.32,BizHawk,144.67999999999984,5.402539208364445
17,Kaizo Mario World 3,Any%,Kaizo Mario World 3 - Any%,2357.0,2012,9,2,Super Nintendo,,,,,1031.23,snes9x,1325.77,56.24819686041578
18,Family Dog,Any%,Family Dog - Any%,374.0,1993,28,4,Super Nintendo,,,,,353.73,,20.269999999999982,5.419786096256679
19,Saiyuuki World,Any%,Saiyuuki World - Any%,810.0,1988,33,4,Nintendo Entertainment System,,,,,696.42,,113.58000000000004,14.022222222222227
20,Bio Hazard,Any%,Bio Hazard - Any%,1076.0,2003,18,1,Nintendo Entertainment System,Horror,,Waixing,Waixing,862.13,,213.87,19.87639405204461
21,Demon's Crest,100%,Demon's Crest - 100%,2301.0,1994,27,38,Super Nintendo,side-scrolling Platformer,,Capcom,Capcom,2087.23,,213.76999999999998,9.290308561495003
22,Star Wars Episode I: Racer,Any%,Star Wars Episode I: Racer - Any%,1917.0,1999,22,23,Nintendo 64,Racing,,LucasArts,LucasArts,1896.75,,20.25,1.056338028169014
23,Donkey Kong Country 2: Diddy's Kong Quest,Any%,Donkey Kong Country 2: Diddy's Kong Quest - Any%,2294.0,1995,26,274,Super Nintendo,Platformer,,Rare,Nintendo,2249.39,BizHawk,44.61000000000013,1.944638186573676
24,Donkey Kong Country 2: Diddy's Kong Quest,102%,Donkey Kong Country 2: Diddy's Kong Quest - 102%,5154.0,1995,26,89,Super Nintendo,Platformer,,Rare,Nintendo,4891.88,,262.1199999999999,5.085758634070623
25,Metroid Fusion,100%,Metroid Fusion - 100%,5754.0,2002,19,82,Game Boy Advance,Action-adventure,,Nintendo R&D1,Nintendo,5719.3,,34.69999999999982,0.60305874174487
26,Metroid Fusion,0%,Metroid Fusion - 0%,4654.0,2002,19,5,Game Boy Advance,Action-adventure,,Nintendo R&D1,Nintendo,4406.73,,247.27000000000044,5.313064030941136
27,Plok,Any%,Plok - Any%,1761.0,1993,28,11,Super Nintendo,,,,,1578.52,BizHawk,182.48000000000002,10.36229415105054
