game,category,game+category,TAS_time(seconds),emulator
SNES Trials of Mana,game end glitch,SNES Trials of Mana - game end glitch,654.47,lsnes
NES Mighty Final Fight,Any%,NES Mighty Final Fight - Any%,486.15,FCEUX
Genesis X-Men,Any%,Genesis X-Men - Any%,424.48,BizHawk
GBC Looney Tunes,Any%,GBC Looney Tunes - Any%,233.97,VBA
SNES Pitfall: The Mayan Adventure,Any%,SNES Pitfall: The Mayan Adventure - Any%,632.61,BizHawk
SNES Mega Man 7,Any%,SNES Mega Man 7 - Any%,2242.25,snes9x
GBC Pocket Bomberman,Any%,GBC Pocket Bomberman - Any%,388.0,lsnes
NES Double Dragon III: The Sacred Stones,Any%,NES Double Dragon III: The Sacred Stones - Any%,603.77,FCEUX
GC Spider-Man,100%,GC Spider-Man - 100%,1776.08,Dolphin
NES Rockin' Kats,Channel X,NES Rockin' Kats - Channel X,62.88,FCEUX
SNES Lethal Weapon,Any%,SNES Lethal Weapon - Any%,1158.27,snes9x
Arcade Metal Slug,,Arcade Metal Slug - ,,
PCE Splatterhouse,Any%,PCE Splatterhouse - Any%,730.68,BizHawk
DOS Jazz Jackrabbit,Any%,DOS Jazz Jackrabbit - Any%,1601.92,JPC-RR
Genesis Generations Lost,Any%,Genesis Generations Lost - Any%,465.53,Gens
DOS Wolfenstein 3D,Episode 2,DOS Wolfenstein 3D - Episode 2,172.7,JPC-RR
SNES Sunset Riders,2 players,SNES Sunset Riders - 2 players,1033.23,lsnes
SNES Disney's Magical Quest 3 Starring Mickey & Donald,2 players,SNES Disney's Magical Quest 3 Starring Mickey & Donald - 2 players,1470.49,lsnes
Windows Eryi's Action,Any%,Windows Eryi's Action - Any%,618.0,Hourglass
SNES Mickey Mania: The Timeless Adventures of Mickey Mouse,Any%,SNES Mickey Mania: The Timeless Adventures of Mickey Mouse - Any%,994.28,BizHawk
GG Sonic Labyrinth,best ending,GG Sonic Labyrinth - best ending,915.91,BizHawk
GC Luigi's Mansion,chest glitch,GC Luigi's Mansion - chest glitch,611.85,Dolphin
GBA Banjo-Kazooie: Grunty's Revenge,Any%,GBA Banjo-Kazooie: Grunty's Revenge - Any%,2533.32,BizHawk
FDS The Mysterious Murasame Castle,Any%,FDS The Mysterious Murasame Castle - Any%,589.75,BizHawk
SNES Mega Man X,password glitch,SNES Mega Man X - password glitch,1016.88,snes9x
GB Mega Man II,Any%,GB Mega Man II - Any%,1018.79,BizHawk
SNES Radical Rex,Any%,SNES Radical Rex - Any%,1145.9,BizHawk
GBC Daffy Duck: Fowl Play,Any%,GBC Daffy Duck: Fowl Play - Any%,452.02,VBA
SNES Zero: The Kamikaze Squirrel,Any%,SNES Zero: The Kamikaze Squirrel - Any%,578.85,snes9x
GC Luigi's Mansion,chest glitch,GC Luigi's Mansion - chest glitch,611.85,Dolphin
PSX Final Fantasy VII,Any%,PSX Final Fantasy VII - Any%,23691.32,BizHawk
Wii Castlevania: The Adventure ReBirth,Any%,Wii Castlevania: The Adventure ReBirth - Any%,1109.4,Dolphin
DOS Wolfenstein 3D,Episode 2,DOS Wolfenstein 3D - Episode 2,172.7,JPC-RR
DS Tetris DS,Any%,DS Tetris DS - Any%,97.53,DeSmuME
NES Doki! Doki! Yuuenchi,Any%,NES Doki! Doki! Yuuenchi - Any%,802.83,FCEUX
Arcade Super Street Fighter II Turbo,playaround,Arcade Super Street Fighter II Turbo - playaround,1165.52,Final
SNES EarthBound,inbounds,SNES EarthBound - inbounds,11411.57,BizHawk
PCECD Castlevania: Rondo of Blood,100%,PCECD Castlevania: Rondo of Blood - 100%,2306.12,Mednafen/PCEjin
SNES The Great Circus Mystery Starring Mickey & Minnie,,SNES The Great Circus Mystery Starring Mickey & Minnie - ,,
NES Extra Mario Bros.,Any%,NES Extra Mario Bros. - Any%,1164.68,FCEU
Windows Spelunky,Any%,Windows Spelunky - Any%,114.03,Hourglass
NES Snake Rattle N Roll,warpless 2 players,NES Snake Rattle N Roll - warpless 2 players,412.65,FCEUX
Saturn Tryrush Deppy,Any%,Saturn Tryrush Deppy - Any%,1301.9,BizHawk
DOOM The Ultimate Doom,Episode 4,DOOM The Ultimate Doom - Episode 4,155.76,DooM
SNES Gradius III,Any%,SNES Gradius III - Any%,1531.4,snes9x
Arcade Bionic Commando,Any%,Arcade Bionic Commando - Any%,294.85,Final
GC Tony Hawk's Pro Skater 3,Any%,GC Tony Hawk's Pro Skater 3 - Any%,329.33,Dolphin
NES Gremlins 2: The New Batch,Any%,NES Gremlins 2: The New Batch - Any%,415.58,FCEUX
GBA Donkey Kong Country 2,Any%,GBA Donkey Kong Country 2 - Any%,3011.76,BizHawk
Arcade Neo Turf Masters,maximum score,Arcade Neo Turf Masters - maximum score,557.0,Final
PCFX Chip-chan Kick!,Any%,PCFX Chip-chan Kick! - Any%,698.26,BizHawk
SMS Ninja Gaiden,Any%,SMS Ninja Gaiden - Any%,857.39,BizHawk
SNES Super Bomberman 2,Any%,SNES Super Bomberman 2 - Any%,1080.23,snes9x
NES Marble Madness,Any%,NES Marble Madness - Any%,162.07,FCEUX
SNES The Lion King,Any%,SNES The Lion King - Any%,771.2,BizHawk
NES Pizza Pop!,Any%,NES Pizza Pop! - Any%,561.86,FCEUX
GB Super Mario Land,hard mode,GB Super Mario Land - hard mode,734.77,VBA
GBA DK: King of Swing,Any%,GBA DK: King of Swing - Any%,1054.47,BizHawk
FDS Castlevania II: Simon's Quest,warp glitch,FDS Castlevania II: Simon's Quest - warp glitch,335.71,BizHawk
PSX Mega Man X5,X only,PSX Mega Man X5 - X only,1183.8,PCSX
PSX Mega Man X6,Any%,PSX Mega Man X6 - Any%,1534.02,PCSX
NES Jackal,2 players,NES Jackal - 2 players,430.82,FCEUX
Genesis Marble Madness,Any%,Genesis Marble Madness - Any%,159.45,Gens
Genesis Ghostbusters,Any%,Genesis Ghostbusters - Any%,1004.31,Gens
NES Chip 'n Dale: Rescue Rangers 2,2 players,NES Chip 'n Dale: Rescue Rangers 2 - 2 players,604.94,FCEUX
NES Legacy of the Wizard,Any%,NES Legacy of the Wizard - Any%,824.23,FCEU
GBA Pac-Man World,Any%,GBA Pac-Man World - Any%,1269.52,BizHawk
NES Mission: Impossible,Any%,NES Mission: Impossible - Any%,1407.52,FCEUX
NES Disney's The Little Mermaid,,NES Disney's The Little Mermaid - ,,
DOS Commander Keen: Episode 6 - Aliens Ate My Baby Sitter!,,DOS Commander Keen: Episode 6 - Aliens Ate My Baby Sitter! - ,,
GG Coca Cola Kid,Any%,GG Coca Cola Kid - Any%,506.47,BizHawk
PSX Star Trek: Invasion,Any%,PSX Star Trek: Invasion - Any%,2305.05,BizHawk
NES Super Mario Bros.,warpless walkathon,NES Super Mario Bros. - warpless walkathon,1519.23,FCEUX
DS Castlevania: Dawn of Sorrow,all souls,DS Castlevania: Dawn of Sorrow - all souls,2108.59,DeSmuME
SNES DoReMi Fantasy: Milon no DokiDoki Daibouken,Any%,SNES DoReMi Fantasy: Milon no DokiDoki Daibouken - Any%,3588.19,snes9x
DS Kingdom Hearts Re:coded,Any%,DS Kingdom Hearts Re:coded - Any%,6062.94,DeSmuME
SNES Kirby Super Star,Any%,SNES Kirby Super Star - Any%,2516.17,snes9x
Wii Rayman Origins,Any%,Wii Rayman Origins - Any%,2731.3,Dolphin
GC Rayman 3: Hoodlum Havoc,Any%,GC Rayman 3: Hoodlum Havoc - Any%,4881.8,Dolphin
SNES Pop'n TwinBee: Rainbow Bell Adventures,100%,SNES Pop'n TwinBee: Rainbow Bell Adventures - 100%,2361.54,BizHawk
NES Faxanadu,Any%,NES Faxanadu - Any%,1384.69,BizHawk
N64 Gex 3: Deep Cover Gecko,Any%,N64 Gex 3: Deep Cover Gecko - Any%,3256.25,Mupen64
Arcade Teenage Mutant Ninja Turtles,Any%,Arcade Teenage Mutant Ninja Turtles - Any%,734.85,Final
NES Zen: Intergalactic Ninja,Any%,NES Zen: Intergalactic Ninja - Any%,694.21,FCEUX
DOS Commander Keen: Episode 4 - Secret of the Oracle,,DOS Commander Keen: Episode 4 - Secret of the Oracle - ,,
Genesis Contra: Hard Corps,Any%,Genesis Contra: Hard Corps - Any%,841.73,Gens
Wii Muramasa: The Demon Blade,Momohime,Wii Muramasa: The Demon Blade - Momohime,3824.55,Dolphin
GC Resident Evil 4,The Mercenaries: Castle,GC Resident Evil 4 - The Mercenaries: Castle,824.33,Dolphin
DOS Wolfenstein 3D,Episode 2,DOS Wolfenstein 3D - Episode 2,172.7,JPC-RR
GB The Smurfs,Any%,GB The Smurfs - Any%,518.04,BizHawk
NES Jackie Chan's Action Kung Fu,Any%,NES Jackie Chan's Action Kung Fu - Any%,992.75,FCEUX
GBA Dragon Ball Z: Buu's Fury,Any%,GBA Dragon Ball Z: Buu's Fury - Any%,7042.57,BizHawk
GG The GG Shinobi,all upgrades,GG The GG Shinobi - all upgrades,557.93,BizHawk
Genesis Desert Demolition,Road Runner,Genesis Desert Demolition - Road Runner,258.42,Gens
PSX Warcraft II: The Dark Saga,Human Campaign,PSX Warcraft II: The Dark Saga - Human Campaign,4673.32,PSXjin
Genesis Pitfall: The Mayan Adventure,Any%,Genesis Pitfall: The Mayan Adventure - Any%,661.9,Gens
GB Tetris,Any%,GB Tetris - Any%,19.92,BizHawk
Genesis Kid Chameleon,Any%,Genesis Kid Chameleon - Any%,767.52,Gens
PSX Legacy of Kain: Soul Reaver,Any%,PSX Legacy of Kain: Soul Reaver - Any%,1274.99,BizHawk
PSX Umihara Kawase Shun,Any%,PSX Umihara Kawase Shun - Any%,138.75,BizHawk
NES Hudson's Adventure Island IV,,NES Hudson's Adventure Island IV - ,,
GB Teenage Mutant Ninja Turtles III: Radical Rescue,Any%,GB Teenage Mutant Ninja Turtles III: Radical Rescue - Any%,1101.47,BizHawk
GB Battletoads,Any%,GB Battletoads - Any%,532.28,BizHawk
NES Metal Force,Any%,NES Metal Force - Any%,789.6,FCEUX
GB The Bouncing Ball,,GB The Bouncing Ball - ,,
Arcade Violent Storm,2 players,Arcade Violent Storm - 2 players,634.72,MAME-rr
Windows Psycho Waluigi,Any%,Windows Psycho Waluigi - Any%,2863.0,Hourglass
PSX Mega Man X5,X only,PSX Mega Man X5 - X only,1183.8,PCSX
GBC Zook Hero Z,Any%,GBC Zook Hero Z - Any%,1914.85,lsnes
PSX Mega Man Legends,Any%,PSX Mega Man Legends - Any%,3164.93,BizHawk
SNES Disney's Toy Story,Any%,SNES Disney's Toy Story - Any%,1246.36,BizHawk
GBC Pokémon: Yellow Version,arbitrary code execution,GBC Pokémon: Yellow Version - arbitrary code execution,348.28,lsnes
NES Clash at Demonhead,Any%,NES Clash at Demonhead - Any%,1089.22,FCEUX
GBA DK: King of Swing,Any%,GBA DK: King of Swing - Any%,1054.47,BizHawk
Genesis The Lion King 2,Any%,Genesis The Lion King 2 - Any%,474.96,BizHawk
NES The Addams Family: Pugsley's Scavenger Hunt,Any%,NES The Addams Family: Pugsley's Scavenger Hunt - Any%,517.6,BizHawk
PSX Tomb Raider II: Starring Lara Croft,glitchless,PSX Tomb Raider II: Starring Lara Croft - glitchless,5270.03,BizHawk
SNES Tetris Attack,fastest 99999,SNES Tetris Attack - fastest 99999,75.38,snes9x
NES Wai Wai World,Any%,NES Wai Wai World - Any%,1743.28,FCEUX
NES Spelunker,Any%,NES Spelunker - Any%,268.57,FCEUX
SNES ActRaiser,Any%,SNES ActRaiser - Any%,3235.57,snes9x
Genesis Gain Ground,Any%,Genesis Gain Ground - Any%,700.57,Gens
PSX Frogger 2: Swampy's Revenge,Any%,PSX Frogger 2: Swampy's Revenge - Any%,1129.05,PSXjin
GBA The Lord of the Rings: The Return of the King (Vast Fame),,GBA The Lord of the Rings: The Return of the King (Vast Fame) - ,,
GBC Shantae,Any%,GBC Shantae - Any%,3926.0,lsnes
DOOM The Ultimate Doom,Episode 4,DOOM The Ultimate Doom - Episode 4,155.76,DooM
GBA The Legend of Zelda: A Link to the Past,Palace of Four Swords,GBA The Legend of Zelda: A Link to the Past - Palace of Four Swords,316.73,VBA
"Genesis Zool: Ninja of the """"""""Nth"""""""" Dimension",Any%,"Genesis Zool: Ninja of the """"""""Nth"""""""" Dimension - Any%",1140.13,BizHawk
SNES The Addams Family: Pugsley's Scavenger Hunt,Any%,SNES The Addams Family: Pugsley's Scavenger Hunt - Any%,791.05,snes9x
PSX Metal Gear Solid: Integral,,PSX Metal Gear Solid: Integral - ,,
NES Super Pitfall,Any%,NES Super Pitfall - Any%,282.04,FCEUX
Linux Mari0,Portal mappack 4 players,Linux Mari0 - Portal mappack 4 players,174.8,libTAS
DS Metroid Prime Pinball,Any%,DS Metroid Prime Pinball - Any%,239.63,DeSmuME
ZXS Space Monsters Meet the Hardy,Any%,ZXS Space Monsters Meet the Hardy - Any%,630.43,BizHawk
NES Aladdin (Hummer Team),Any%,NES Aladdin (Hummer Team) - Any%,770.28,BizHawk
SNES Metal Warriors,Any%,SNES Metal Warriors - Any%,887.25,Bizhawk
Genesis Wolverine: Adamantium Rage,Any%,Genesis Wolverine: Adamantium Rage - Any%,647.68,Gens
NES Monopoly,4 CPUs,NES Monopoly - 4 CPUs,67.67,FCEU
Genesis The Incredible Crash Dummies,Any%,Genesis The Incredible Crash Dummies - Any%,583.33,BizHawk
N64 Mystical Ninja Starring Goemon,Any%,N64 Mystical Ninja Starring Goemon - Any%,3809.47,Mupen64
DS Kingdom Hearts 358/2 Days,Any%,DS Kingdom Hearts 358/2 Days - Any%,9217.01,DeSmuME
Saturn Magic Knight Rayearth,Any%,Saturn Magic Knight Rayearth - Any%,802.0,BizHawk
Genesis Tinhead,Any%,Genesis Tinhead - Any%,1066.24,BizHawk
GBA Pokémon: Ruby Version,Any%,GBA Pokémon: Ruby Version - Any%,5505.43,VBA
SNES Donkey Kong Country,101%,SNES Donkey Kong Country - 101%,2478.37,BizHawk
Genesis Mega Man: The Wily Wars,Wily Tower,Genesis Mega Man: The Wily Wars - Wily Tower,576.46,Gens
PSX Warcraft II: The Dark Saga,Human Campaign,PSX Warcraft II: The Dark Saga - Human Campaign,4673.32,PSXjin
SNES Super Puyo Puyo 2,Any%,SNES Super Puyo Puyo 2 - Any%,214.72,snes9x
NES Metal Storm,Any%,NES Metal Storm - Any%,680.1,FCEUX
NES Snake Rattle N Roll,warpless 2 players,NES Snake Rattle N Roll - warpless 2 players,412.65,FCEUX
SNES Pop'n TwinBee: Rainbow Bell Adventures,100%,SNES Pop'n TwinBee: Rainbow Bell Adventures - 100%,2361.54,BizHawk
DS Spider-Man 2,Any%,DS Spider-Man 2 - Any%,860.21,DeSmuME
SNES Shounen Ashibe: Goma-chan no Yuuenchi Daibouken,,SNES Shounen Ashibe: Goma-chan no Yuuenchi Daibouken - ,,
NES Darkwing Duck,Any%,NES Darkwing Duck - Any%,659.5,FCEU
GBA Mortal Kombat Advance,playaround,GBA Mortal Kombat Advance - playaround,992.02,VBA
Genesis James Pond 2: Codename: RoboCod,all levels,Genesis James Pond 2: Codename: RoboCod - all levels,1571.26,BizHawk
SNES Prince of Persia 2,Any%,SNES Prince of Persia 2 - Any%,558.85,BizHawk
SMS Psychic World,Any%,SMS Psychic World - Any%,793.97,BizHawk
PCECD Castlevania: Rondo of Blood,100%,PCECD Castlevania: Rondo of Blood - 100%,2306.12,Mednafen/PCEjin
N64 Super Smash Bros.,playaround,N64 Super Smash Bros. - playaround,475.1,BizHawk
SNES The Blues Brothers,2 players,SNES The Blues Brothers - 2 players,563.77,lsnes
GBC Shantae,Any%,GBC Shantae - Any%,3926.0,lsnes
Genesis Castle of Illusion: Starring Mickey Mouse,Any%,Genesis Castle of Illusion: Starring Mickey Mouse - Any%,1053.03,Gens
Genesis Jurassic Park: Rampage Edition,Grant,Genesis Jurassic Park: Rampage Edition - Grant,159.84,BizHawk
SNES Speedy Gonzales: Los Gatos Bandidos,100%,SNES Speedy Gonzales: Los Gatos Bandidos - 100%,1634.56,lsnes
N64 Mortal Kombat 4,Any%,N64 Mortal Kombat 4 - Any%,553.72,Mupen64
Genesis Normy's Beach Babe-o-Rama,Any%,Genesis Normy's Beach Babe-o-Rama - Any%,620.73,BizHawk
"NES Donkey Kong"""" DK Jr."""" DK 3 & DK Jr. Math",Any%,"NES Donkey Kong"""" DK Jr."""" DK 3 & DK Jr. Math - Any%",78.39,BizHawk
NES Castlevania III: Dracula's Curse,Trevor Sunken City path,NES Castlevania III: Dracula's Curse - Trevor Sunken City path,1819.64,BizHawk
NES Blaster Master,all bosses,NES Blaster Master - all bosses,1830.37,FCEUX
Arcade J. J. Squawkers,,Arcade J. J. Squawkers - ,,
N64 Chameleon Twist,Any%,N64 Chameleon Twist - Any%,664.37,Mupen64
NES Blaster Master,all bosses,NES Blaster Master - all bosses,1830.37,FCEUX
NES Chip 'n Dale: Rescue Rangers,1 player,NES Chip 'n Dale: Rescue Rangers - 1 player,594.37,FCEUX
