game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher
Blood Omen : Legacy of Kain,Glitchless Any%,Blood Omen : Legacy of Kain - Glitchless Any%,4962,1996,25,2,,,,,
Blood Omen : Legacy of Kain,Life is Precious%,Blood Omen : Legacy of Kain - Life is Precious%,5815,1996,25,1,,,,,
Banjo-Kazooie: Grunty's Revenge,Any%,Banjo-Kazooie: Grunty's Revenge - Any%,2678,2003,18,18,Game Boy Advance,,,,
Banjo-Kazooie: Grunty's Revenge,100%,Banjo-Kazooie: Grunty's Revenge - 100%,3496,2003,18,10,Game Boy Advance,,,,
ToeJam & Earl in Panic on Funkotron,Any%,ToeJam & Earl in Panic on Funkotron - Any%,5066,1993,28,1,Wii Virtual Console,Platformer,,Johnson Voorsanger Productions,SEGA
ToeJam & Earl in Panic on Funkotron,Best Ending,ToeJam & Earl in Panic on Funkotron - Best Ending,3741,1993,28,1,Wii Virtual Console,Platformer,,Johnson Voorsanger Productions,SEGA
ToeJam & Earl in Panic on Funkotron,100%,ToeJam & Earl in Panic on Funkotron - 100%,3741,1993,28,0,Wii Virtual Console,Platformer,,Johnson Voorsanger Productions,SEGA
ToeJam & Earl in Panic on Funkotron,Any% (Co-Op),ToeJam & Earl in Panic on Funkotron - Any% (Co-Op),3741,1993,28,0,Wii Virtual Console,Platformer,,Johnson Voorsanger Productions,SEGA
ToeJam & Earl in Panic on Funkotron,Best Ending (Co-Op),ToeJam & Earl in Panic on Funkotron - Best Ending (Co-Op),3741,1993,28,0,Wii Virtual Console,Platformer,,Johnson Voorsanger Productions,SEGA
ToeJam & Earl in Panic on Funkotron,100% (Co-Op),ToeJam & Earl in Panic on Funkotron - 100% (Co-Op),3741,1993,28,0,Wii Virtual Console,Platformer,,Johnson Voorsanger Productions,SEGA
Kaizo Mario World 3,Any%,Kaizo Mario World 3 - Any%,2357,2012,9,2,Super Nintendo,,,,
Kaizo Mario World 3,100%,Kaizo Mario World 3 - 100%,2357,2012,9,5,Super Nintendo,,,,
Family Dog,Any%,Family Dog - Any%,374,1993,28,4,Super Nintendo,,,,
AMOK,All Chapters,AMOK - All Chapters,1431,2016,5,3,PC,Action,,Artem Bondin,Artem Bondin
China Warrior,1 act,China Warrior - 1 act,267,1989,32,4,PC,Beat em up,,,
China Warrior,2 act,China Warrior - 2 act,481,1989,32,2,PC,Beat em up,,,
China Warrior,3 act,China Warrior - 3 act,680,1989,32,1,PC,Beat em up,,,
China Warrior,100%,China Warrior - 100%,889,1989,32,1,PC,Beat em up,,,
Lucky Luke,Any% Hard,Lucky Luke - Any% Hard,1578,1999,22,2,Game Boy Color,,,,
Chameleon Twist,Any%,Chameleon Twist - Any%,623,1997,24,50,Nintendo 64,3D Platformer,,Japan System Supply,Sunsoft
Chameleon Twist,All Levels,Chameleon Twist - All Levels,1245,1997,24,13,Nintendo 64,3D Platformer,,Japan System Supply,Sunsoft
