game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher
Toy Story,Game Boy,Toy Story - Game Boy,1323,1995,26,2,Super Nintendo,Platform,,Traveller's Tales,Disney Interactive
Toy Story,PC,Toy Story - PC,1940,1995,26,1,Super Nintendo,Platform,,Traveller's Tales,Disney Interactive
Survival Kids,Ending 1,Survival Kids - Ending 1,260,1999,22,13,Game Boy Color,Survival,,Konami,Konami
Survival Kids,Ending 2,Survival Kids - Ending 2,505,1999,22,3,Game Boy Color,Survival,,Konami,Konami
Survival Kids,Ending 3,Survival Kids - Ending 3,165,1999,22,7,Game Boy Color,Survival,,Konami,Konami
Survival Kids,Ending 4,Survival Kids - Ending 4,2004,1999,22,1,Game Boy Color,Survival,,Konami,Konami
Survival Kids,Ending 5,Survival Kids - Ending 5,2004,1999,22,0,Game Boy Color,Survival,,Konami,Konami
Survival Kids,Ending 6,Survival Kids - Ending 6,2129,1999,22,1,Game Boy Color,Survival,,Konami,Konami
Survival Kids,Ending 7,Survival Kids - Ending 7,249,1999,22,3,Game Boy Color,Survival,,Konami,Konami
Survival Kids,Ending 8,Survival Kids - Ending 8,2148,1999,22,3,Game Boy Color,Survival,,Konami,Konami
Survival Kids,All Endings,Survival Kids - All Endings,6224,1999,22,1,Game Boy Color,Survival,,Konami,Konami
Crash Bandicoot: The Huge Adventure,Any%,Crash Bandicoot: The Huge Adventure - Any%,2205,2002,19,29,Game Boy Advance,,,Vicarious Visions,
Crash Bandicoot: The Huge Adventure,101%,Crash Bandicoot: The Huge Adventure - 101%,5392,2002,19,14,Game Boy Advance,,,Vicarious Visions,
Super Mario 4,Any%,Super Mario 4 - Any%,591,1997,24,1,Game Boy Player,,,,
Hudson's Adventure Island,NTSC,Hudson's Adventure Island - NTSC,2260,1986,35,10,Nintendo Entertainment System,2D Platformer,,Hudson Soft,Hudson Soft
Hudson's Adventure Island,PAL,Hudson's Adventure Island - PAL,2260,1986,35,0,Nintendo Entertainment System,2D Platformer,,Hudson Soft,Hudson Soft
Cacoma Knight in Bizyland,Any%,Cacoma Knight in Bizyland - Any%,484,1992,29,1,Super Nintendo,Puzzle,,Affect,Datam Polystar
Dragster,Best Time (Game 1),Dragster - Best Time (Game 1),5.57,1980,41,343,Atari 2600,Drag racing,,Activision,Activision
Dragster,Best Time (Game 2),Dragster - Best Time (Game 2),5.57,1980,41,40,Atari 2600,Drag racing,,Activision,Activision
Toki Tori 2+,Any%,Toki Tori 2+ - Any%,2077,2013,8,3,Wii U,,,Two Tribes,
Toki Tori 2+,99%,Toki Tori 2+ - 99%,7793.62,2013,8,1,Wii U,,,Two Tribes,
Toki Tori 2+,Detour%,Toki Tori 2+ - Detour%,2915.89,2013,8,1,Wii U,,,Two Tribes,
Grand Prix,1. Watkins Glen,Grand Prix - 1. Watkins Glen,0,1982,39,15,Atari 2600,Racing,,Activision,Activision
Grand Prix,2. Brands Hatch,Grand Prix - 2. Brands Hatch,50.9,1982,39,3,Atari 2600,Racing,,Activision,Activision
Grand Prix,3. Le Mans,Grand Prix - 3. Le Mans,0,1982,39,2,Atari 2600,Racing,,Activision,Activision
Grand Prix,4. Monaco,Grand Prix - 4. Monaco,0,1982,39,1,Atari 2600,Racing,,Activision,Activision
X-Men The Official Game,Console,X-Men The Official Game - Console,8823,2006,15,1,Game Boy Advance,,,,
X-Men The Official Game,PC,X-Men The Official Game - PC,8823,2006,15,0,Game Boy Advance,,,,
X-Men The Official Game,GBA,X-Men The Official Game - GBA,1641,2006,15,1,Game Boy Advance,,,,
X-Men The Official Game,NDS,X-Men The Official Game - NDS,1641,2006,15,0,Game Boy Advance,,,,
Brandish,No Major Glitches,Brandish - No Major Glitches,3409,1994,27,2,Super Nintendo,Action RPG,,Koei,Nihon Falcom
Brandish,Any%,Brandish - Any%,1466,1994,27,1,Super Nintendo,Action RPG,,Koei,Nihon Falcom
Aladdin II,Any%,Aladdin II - Any%,906,1996,25,3,Sega Genesis,,,,
10-Yard Fight,Beat Super Level,10-Yard Fight - Beat Super Level,613,1983,38,9,Nintendo Entertainment System,,,,
Asterix: Search for Dogmatix,Any%,Asterix: Search for Dogmatix - Any%,613,2000,21,0,Game Boy Color,Action,,Rebellion,Infogrames
Asterix: Search for Dogmatix,All letters,Asterix: Search for Dogmatix - All letters,613,2000,21,0,Game Boy Color,Action,,Rebellion,Infogrames
Tony Hawk's Underground,Any%,Tony Hawk's Underground - Any%,1969,2003,18,125,GameCube,Skateboarding,,Neversoft,Activision
Tony Hawk's Underground,Any% No Warp,Tony Hawk's Underground - Any% No Warp,2161,2003,18,42,GameCube,Skateboarding,,Neversoft,Activision
Tony Hawk's Underground,All Story Goals,Tony Hawk's Underground - All Story Goals,3005,2003,18,14,GameCube,Skateboarding,,Neversoft,Activision
Tony Hawk's Underground,100%,Tony Hawk's Underground - 100%,4799,2003,18,6,GameCube,Skateboarding,,Neversoft,Activision
Hyper Princess Pitch,Trainee,Hyper Princess Pitch - Trainee,447,2011,10,2,PC,,,Daniel Remar,
Hyper Princess Pitch,Combat Lady,Hyper Princess Pitch - Combat Lady,541,2011,10,4,PC,,,Daniel Remar,
Hyper Princess Pitch,Battle Princess,Hyper Princess Pitch - Battle Princess,562,2011,10,2,PC,,,Daniel Remar,
Hyper Princess Pitch,War Queen,Hyper Princess Pitch - War Queen,627,2011,10,4,PC,,,Daniel Remar,
Hyper Princess Pitch,Goddess of Explosions,Hyper Princess Pitch - Goddess of Explosions,759,2011,10,3,PC,,,Daniel Remar,
Super Spike V'Ball,World Cup Auto-Set,Super Spike V'Ball - World Cup Auto-Set,1401,1990,31,2,Nintendo Entertainment System,Sports,,,
Super Spike V'Ball,World Cup No Auto-Set,Super Spike V'Ball - World Cup No Auto-Set,1401,1990,31,0,Nintendo Entertainment System,Sports,,,
Super Spike V'Ball,American Cup Auto-Set,Super Spike V'Ball - American Cup Auto-Set,896,1990,31,8,Nintendo Entertainment System,Sports,,,
Super Spike V'Ball,American Cup No Auto-Set,Super Spike V'Ball - American Cup No Auto-Set,953,1990,31,1,Nintendo Entertainment System,Sports,,,
SpongeBob SquarePants: SuperSponge,Any%,SpongeBob SquarePants: SuperSponge - Any%,1333,2001,20,8,PlayStation 2,,,,
Silhouette Mirage,Any% US,Silhouette Mirage - Any% US,2279,1997,24,4,Sega Saturn,Platformer,,Treasure,Working Designs
Silhouette Mirage,Any% JP,Silhouette Mirage - Any% JP,2398,1997,24,4,Sega Saturn,Platformer,,Treasure,Working Designs
Silhouette Mirage,All Paths,Silhouette Mirage - All Paths,10811,1997,24,1,Sega Saturn,Platformer,,Treasure,Working Designs
Teenage Mutant Ninja Turtles III: Radical Rescue,any%,Teenage Mutant Ninja Turtles III: Radical Rescue - any%,1198,1993,28,5,Super Game Boy 2,,,,
Teenage Mutant Ninja Turtles III: Radical Rescue,100%,Teenage Mutant Ninja Turtles III: Radical Rescue - 100%,1591,1993,28,6,Super Game Boy 2,,,,
Sonic Chaos 2018,Sonic,Sonic Chaos 2018 - Sonic,177.19,2018,3,5,PC,,,,
Sonic Chaos 2018,Tails,Sonic Chaos 2018 - Tails,177.35,2018,3,2,PC,,,,
Sonic Chaos 2018,Knuckles,Sonic Chaos 2018 - Knuckles,177.35,2018,3,0,PC,,,,
Tiny Toon Adventures: Buster's Hidden Treasure,Any%,Tiny Toon Adventures: Buster's Hidden Treasure - Any%,1335,1993,28,9,Sega Genesis,,,,
Tiny Toon Adventures: Buster's Hidden Treasure,All Stages,Tiny Toon Adventures: Buster's Hidden Treasure - All Stages,2259,1993,28,2,Sega Genesis,,,,
R.C. Pro-Am,Any% One Loop (24 Tracks),R.C. Pro-Am - Any% One Loop (24 Tracks),1244,1987,34,8,Nintendo Entertainment System,,,,
R.C. Pro-Am,Rageless%,R.C. Pro-Am - Rageless%,1345,1987,34,3,Nintendo Entertainment System,,,,
Adventures of Yogi Bear,Any%,Adventures of Yogi Bear - Any%,1600,1994,27,2,Super Nintendo,,,,
Kenseiden,All Bosses,Kenseiden - All Bosses,671,1988,33,5,Sega Master System,,,,
Kenseiden,Any%,Kenseiden - Any%,380,1988,33,11,Sega Master System,,,,
Kenseiden,100%,Kenseiden - 100%,888,1988,33,2,Sega Master System,,,,
Teleroboxer,Single-Segment,Teleroboxer - Single-Segment,0,1995,26,1,Virtual Boy,Boxing,,Nintendo R&D1,Nintendo
Teleroboxer,RTA,Teleroboxer - RTA,532.7,1995,26,1,Virtual Boy,Boxing,,Nintendo R&D1,Nintendo
Teleroboxer,Tukikage RTA,Teleroboxer - Tukikage RTA,532.7,1995,26,0,Virtual Boy,Boxing,,Nintendo R&D1,Nintendo
Knuckles' Chaotix,Beat The Game,Knuckles' Chaotix - Beat The Game,2703,1995,26,12,Sega 32X,Action,,SEGA,SEGA
Knuckles' Chaotix,Best Ending,Knuckles' Chaotix - Best Ending,3269,1995,26,4,Sega 32X,Action,,SEGA,SEGA
Digimon Battle Spirit,Any%,Digimon Battle Spirit - Any%,1035,2003,18,12,Game Boy Advance,,,,
Lord of the Sword,Any%,Lord of the Sword - Any%,1991,1988,33,1,Sega Master System,,,,
The Ren & Stimpy Show Presents: Stimpy's Invention,Any%,The Ren & Stimpy Show Presents: Stimpy's Invention - Any%,468,1993,28,7,Sega Genesis,2D Action Platformer,,BlueSky Software,SEGA
The Ren & Stimpy Show Presents: Stimpy's Invention,Co-op,The Ren & Stimpy Show Presents: Stimpy's Invention - Co-op,567,1993,28,2,Sega Genesis,2D Action Platformer,,BlueSky Software,SEGA
Noddy: A Day in Toyland,Any%,Noddy: A Day in Toyland - Any%,1112,2006,15,3,Game Boy Advance,Action,,Lucky Jump,Game Factory
LEGO Star Wars II: The Original Trilogy (DS),Any%,LEGO Star Wars II: The Original Trilogy (DS) - Any%,842,2006,15,4,Nintendo DS,,,,
LEGO Star Wars II: The Original Trilogy (DS),All Levels,LEGO Star Wars II: The Original Trilogy (DS) - All Levels,3236,2006,15,1,Nintendo DS,,,,
LEGO Star Wars II: The Original Trilogy (DS),100%,LEGO Star Wars II: The Original Trilogy (DS) - 100%,3236,2006,15,0,Nintendo DS,,,,
LEGO Star Wars II: The Original Trilogy (DS),Free Play,LEGO Star Wars II: The Original Trilogy (DS) - Free Play,3236,2006,15,0,Nintendo DS,,,,
Kid Klown in Crazy Chase,any%,Kid Klown in Crazy Chase - any%,716,1994,27,6,Super Nintendo,,,,
Twinkle Tale,Any%,Twinkle Tale - Any%,1130,1992,29,4,Sega Genesis,,,Wonder Amusement Studio,
Rolan's Curse II,Any%,Rolan's Curse II - Any%,1449,1992,29,2,Game Boy,Action-adventure,,NMK,Sammy
George Foreman's KO Boxing,Any%,George Foreman's KO Boxing - Any%,392,1992,29,1,Sega Master System,,,,
Tails' Skypatrol,Beat The Game,Tails' Skypatrol - Beat The Game,418,1995,26,3,GameCube,Action,,SIMS,SEGA
Porky's,Any%,Porky's - Any%,9.487,1983,38,5,Atari 2600,,,,
North & South,Lvl. 1 Difficulty,North & South - Lvl. 1 Difficulty,54.733,1989,32,23,Nintendo Entertainment System,,,,
North & South,Lvl. 2 Difficulty,North & South - Lvl. 2 Difficulty,54.917,1989,32,9,Nintendo Entertainment System,,,,
North & South,Lvl. 3 Difficulty,North & South - Lvl. 3 Difficulty,50.733,1989,32,4,Nintendo Entertainment System,,,,
Rocky,Any%,Rocky - Any%,228,1987,34,2,Sega Master System,Boxing,,SEGA,SEGA
Rocky,Any% Turbo Allowed,Rocky - Any% Turbo Allowed,228,1987,34,0,Sega Master System,Boxing,,SEGA,SEGA
The Flash,Any%,The Flash - Any%,493,1991,30,4,Super Game Boy,,,,
McDonald's Treasure Land Adventure,Beginner (NTSC),McDonald's Treasure Land Adventure - Beginner (NTSC),1208,1993,28,25,Sega Genesis,Platformer,,Treasure,SEGA
McDonald's Treasure Land Adventure,Normal (NTSC),McDonald's Treasure Land Adventure - Normal (NTSC),1355,1993,28,5,Sega Genesis,Platformer,,Treasure,SEGA
McDonald's Treasure Land Adventure,Expert (NTSC),McDonald's Treasure Land Adventure - Expert (NTSC),1546,1993,28,4,Sega Genesis,Platformer,,Treasure,SEGA
McDonald's Treasure Land Adventure,Beginner (PAL),McDonald's Treasure Land Adventure - Beginner (PAL),1699,1993,28,4,Sega Genesis,Platformer,,Treasure,SEGA
McDonald's Treasure Land Adventure,Normal (PAL),McDonald's Treasure Land Adventure - Normal (PAL),1699,1993,28,0,Sega Genesis,Platformer,,Treasure,SEGA
McDonald's Treasure Land Adventure,Expert (PAL),McDonald's Treasure Land Adventure - Expert (PAL),4708,1993,28,1,Sega Genesis,Platformer,,Treasure,SEGA
Sonic the Hedgehog 2,Sonic,Sonic the Hedgehog 2 - Sonic,1128,1992,29,124,GameCube,Action,,Sonic Team,SEGA
Sonic the Hedgehog 2,Knuckles,Sonic the Hedgehog 2 - Knuckles,1195,1992,29,21,GameCube,Action,,Sonic Team,SEGA
Dora the Explorer: The Search for Pirate Pig's Treasure,Any% no Continue Codes,Dora the Explorer: The Search for Pirate Pig's Treasure - Any% no Continue Codes,1363,2002,19,10,Game Boy Advance,,,,
Dora the Explorer: The Search for Pirate Pig's Treasure,100%,Dora the Explorer: The Search for Pirate Pig's Treasure - 100%,3481,2002,19,1,Game Boy Advance,,,,
Spy Muppets: License to Croak,Any%,Spy Muppets: License to Croak - Any%,711,2003,18,13,Game Boy Advance,,,,
Psycho Fox,Any%,Psycho Fox - Any%,155,1989,32,3,Sega Master System,,,,
Psycho Fox,Warpless,Psycho Fox - Warpless,1195,1989,32,3,Sega Master System,,,,
007: NightFire (GBA),Any% Normal,007: NightFire (GBA) - Any% Normal,2724,2003,18,1,Game Boy Advance,,,,
007: NightFire (GBA),Any% Hard,007: NightFire (GBA) - Any% Hard,2724,2003,18,0,Game Boy Advance,,,,
Porky Pig's Haunted Holiday,All levels Normal Mode,Porky Pig's Haunted Holiday - All levels Normal Mode,1477,1995,26,6,Super Nintendo,,,,
Porky Pig's Haunted Holiday,All levels Easy Mode,Porky Pig's Haunted Holiday - All levels Easy Mode,1799,1995,26,4,Super Nintendo,,,,
Porky Pig's Haunted Holiday,All levels Hard Mode,Porky Pig's Haunted Holiday - All levels Hard Mode,1456,1995,26,3,Super Nintendo,,,,
Porky Pig's Haunted Holiday,Demo Skip Hard Mode,Porky Pig's Haunted Holiday - Demo Skip Hard Mode,494,1995,26,1,Super Nintendo,,,,
Fatal Labyrinth,Any%,Fatal Labyrinth - Any%,1016,1991,30,6,Sega Genesis,Dungeon Crawler,,Sega AM8,SEGA
Fatal Labyrinth,Any% Glitchless,Fatal Labyrinth - Any% Glitchless,2094,1991,30,3,Sega Genesis,Dungeon Crawler,,Sega AM8,SEGA
Diddy Kong Racing,100%,Diddy Kong Racing - 100%,6288,1997,24,106,Nintendo 64,Racing,,,
Diddy Kong Racing,Any%,Diddy Kong Racing - Any%,2279,1997,24,40,Nintendo 64,Racing,,,
Diddy Kong Racing,All Trophy Races,Diddy Kong Racing - All Trophy Races,1398,1997,24,114,Nintendo 64,Racing,,,
Master of Darkness,Any%,Master of Darkness - Any%,1115,1992,29,12,Sega Master System,Platformer,,SIMS,SEGA
El Viento,Any%,El Viento - Any%,750,1991,30,5,Sega Genesis,Platformer,,Wolf Team,SEGA
Taz in Escape From Mars,any%,Taz in Escape From Mars - any%,1459,1994,27,4,Sega Genesis,,,,
Front Line (NES),Beat the Game (1 Loop),Front Line (NES) - Beat the Game (1 Loop),150,1985,36,10,Nintendo Entertainment System,Shoot 'em up,,Taito,Taito
Raiders of the Lost Ark,Any%,Raiders of the Lost Ark - Any%,84,1982,39,1,Atari 2600,Adventure,,Atari,Atari
Raiders of the Lost Ark,Marathon Any%,Raiders of the Lost Ark - Marathon Any%,185,1982,39,1,Atari 2600,Adventure,,Atari,Atari
Raiders of the Lost Ark,100%,Raiders of the Lost Ark - 100%,226,1982,39,2,Atari 2600,Adventure,,Atari,Atari
Phoenix Force,Any%,Phoenix Force - Any%,5065,2014,7,2,PC,Indie/Action,,Awoker Games,Awoker Games
Toki: Going Ape Spit,Any% Normal No Demo Glitch,Toki: Going Ape Spit - Any% Normal No Demo Glitch,2014,1992,29,4,Sega Genesis,Platformer/Shmup,,TAD Corporation,
Astérix: The Gallic War,Any % save abuse,Astérix: The Gallic War - Any % save abuse,2298,2000,21,1,PlayStation 2,Beat 'em up,,Infogrames,Infogrames
Astérix: The Gallic War,Easy (no save abuse),Astérix: The Gallic War - Easy (no save abuse),2298,2000,21,0,PlayStation 2,Beat 'em up,,Infogrames,Infogrames
Astérix: The Gallic War,Normal (no save abuse),Astérix: The Gallic War - Normal (no save abuse),2298,2000,21,0,PlayStation 2,Beat 'em up,,Infogrames,Infogrames
Astérix: The Gallic War,Hard (no save abuse),Astérix: The Gallic War - Hard (no save abuse),2298,2000,21,0,PlayStation 2,Beat 'em up,,Infogrames,Infogrames
Legacy of Kain : Soul Reaver,Any%,Legacy of Kain : Soul Reaver - Any%,1400,1999,22,6,,,,,
Legacy of Kain : Soul Reaver,Any% Glitchless,Legacy of Kain : Soul Reaver - Any% Glitchless,6111,1999,22,7,,,,,
Legacy of Kain : Soul Reaver,All Bosses%,Legacy of Kain : Soul Reaver - All Bosses%,3811,1999,22,4,,,,,
Legacy of Kain : Soul Reaver,100%,Legacy of Kain : Soul Reaver - 100%,7527,1999,22,3,,,,,
Legacy of Kain : Soul Reaver,100% Glitchless,Legacy of Kain : Soul Reaver - 100% Glitchless,11531,1999,22,2,,,,,
Adventure,Game 1,Adventure - Game 1,31.891,1979,42,72,Atari 2600,,,,
Adventure,Game 2,Adventure - Game 2,78.478,1979,42,5,Atari 2600,,,,
Adventure,Game 3,Adventure - Game 3,25.967,1979,42,8,Atari 2600,,,,
Holy Diver,Any%,Holy Diver - Any%,1032,1989,32,7,Nintendo Entertainment System,,,,
Space Invaders '91,Beat The Game,Space Invaders '91 - Beat The Game,2273,1990,31,1,Sega Genesis,Action Shooter,,Taito,
E.T. The Extra-Terrestrial,Any% No RNG Manipulation - Hard,E.T. The Extra-Terrestrial - Any% No RNG Manipulation - Hard,59.29,1982,39,9,Atari 2600,,,,
E.T. The Extra-Terrestrial,Any%,E.T. The Extra-Terrestrial - Any%,53.85,1982,39,5,Atari 2600,,,,
Frogger,High Score,Frogger - High Score,21.07,1981,40,13,Game Boy Advance,,,,
Frogger,1 Loop,Frogger - 1 Loop,388,1981,40,1,Game Boy Advance,,,,
Banjo-Kazooie,100%,Banjo-Kazooie - 100%,6992,1998,23,361,Nintendo 64,3-D Platformer,,Rare,Nintendo / Microsoft
Banjo-Kazooie,Any%,Banjo-Kazooie - Any%,3581,1998,23,43,Nintendo 64,3-D Platformer,,Rare,Nintendo / Microsoft
Banjo-Kazooie,Any% No RBA,Banjo-Kazooie - Any% No RBA,3856,1998,23,49,Nintendo 64,3-D Platformer,,Rare,Nintendo / Microsoft
Paper Mario,Any%,Paper Mario - Any%,5966,2000,21,96,Nintendo 64,RPG,,Intelligent Systems,Nintendo
Paper Mario,Any% (No PW),Paper Mario - Any% (No PW),7668,2000,21,55,Nintendo 64,RPG,,Intelligent Systems,Nintendo
Paper Mario,All Cards,Paper Mario - All Cards,9931,2000,21,95,Nintendo 64,RPG,,Intelligent Systems,Nintendo
Paper Mario,All Bosses,Paper Mario - All Bosses,11263,2000,21,17,Nintendo 64,RPG,,Intelligent Systems,Nintendo
Paper Mario,Glitchless,Paper Mario - Glitchless,13204,2000,21,146,Nintendo 64,RPG,,Intelligent Systems,Nintendo
Paper Mario,Reverse All Cards,Paper Mario - Reverse All Cards,13416,2000,21,5,Nintendo 64,RPG,,Intelligent Systems,Nintendo
Paper Mario,100%,Paper Mario - 100%,18745,2000,21,14,Nintendo 64,RPG,,Intelligent Systems,Nintendo
Impossible Mission,Any% (Master System),Impossible Mission - Any% (Master System),653,1984,37,2,Nintendo DS,,,,
Impossible Mission,Any% (C64),Impossible Mission - Any% (C64),653,1984,37,0,Nintendo DS,,,,
Mighty Final Fight,Cody,Mighty Final Fight - Cody,911,1993,28,14,Nintendo Entertainment System,,,,
Mighty Final Fight,Guy,Mighty Final Fight - Guy,882,1993,28,8,Nintendo Entertainment System,,,,
Mighty Final Fight,Haggar,Mighty Final Fight - Haggar,827,1993,28,14,Nintendo Entertainment System,,,,
Guilty Gear Petit,Story Mode,Guilty Gear Petit - Story Mode,146,2001,20,1,Wonderswan Colour,,,,
Guilty Gear Petit,Time Attack Mode,Guilty Gear Petit - Time Attack Mode,63,2001,20,1,Wonderswan Colour,,,,
Track & Field,Single Player,Track & Field - Single Player,421.81,1983,38,16,Nintendo Entertainment System,Sports,,Konami,Konami
Track & Field,Multi Player,Track & Field - Multi Player,421.81,1983,38,0,Nintendo Entertainment System,Sports,,Konami,Konami
Track & Field,Single Player Atari 2600,Track & Field - Single Player Atari 2600,241,1983,38,2,Nintendo Entertainment System,Sports,,Konami,Konami
Metroid Prime Hunters,Any%,Metroid Prime Hunters - Any%,4167,2006,15,2,Nintendo DS,,,,
Metroid Prime Hunters,All Items,Metroid Prime Hunters - All Items,4294,2006,15,5,Nintendo DS,,,,
Metroid Prime Hunters,100%,Metroid Prime Hunters - 100%,4294,2006,15,0,Nintendo DS,,,,
Metroid Prime Hunters,Minimal Items,Metroid Prime Hunters - Minimal Items,4628,2006,15,1,Nintendo DS,,,,
Target Earth,Any%,Target Earth - Any%,1475,1990,31,1,Sega Genesis,,,,
F-Zero,Grand Prix,F-Zero - Grand Prix,2420,1990,31,39,Super Nintendo,Racing,,,
F-Zero,Knight League,F-Zero - Knight League,744,1990,31,79,Super Nintendo,Racing,,,
F-Zero,Queen League,F-Zero - Queen League,700,1990,31,38,Super Nintendo,Racing,,,
F-Zero,King League,F-Zero - King League,844,1990,31,16,Super Nintendo,Racing,,,
Super Mario 64: The Green Stars,0 Star,Super Mario 64: The Green Stars - 0 Star,352.1,2013,8,44,Nintendo 64,,,Kampel125,Kampel125
Super Mario 64: The Green Stars,80 Star,Super Mario 64: The Green Stars - 80 Star,3432,2013,8,38,Nintendo 64,,,Kampel125,Kampel125
Super Mario 64: The Green Stars,130 Star,Super Mario 64: The Green Stars - 130 Star,7254,2013,8,20,Nintendo 64,,,Kampel125,Kampel125
Noddy and the Birthday Party,Any%,Noddy and the Birthday Party - Any%,473,2000,21,8,Game Boy Color,Platform Game,,Tiertex Design Studios,BBC Multimedia
Kung-Fu Master,Any%,Kung-Fu Master - Any%,246,1990,31,18,Game Boy Player,,,,
Kung-Fu Master,Any% Hard,Kung-Fu Master - Any% Hard,266,1990,31,4,Game Boy Player,,,,
Kung-Fu Master,JP Any%,Kung-Fu Master - JP Any%,240,1990,31,6,Game Boy Player,,,,
Kung-Fu Master,JP Any% Hard,Kung-Fu Master - JP Any% Hard,234,1990,31,4,Game Boy Player,,,,
Wolfenstein 3D,Episode 1: Escape from Wolfenstein,Wolfenstein 3D - Episode 1: Escape from Wolfenstein,157,1992,29,19,Game Boy Advance,First-person shooter,,id Software,
Wolfenstein 3D,Episode 2: Operation: Eisenfaust,Wolfenstein 3D - Episode 2: Operation: Eisenfaust,220,1992,29,11,Game Boy Advance,First-person shooter,,id Software,
Wolfenstein 3D,"Episode 3: Die, Fuhrer, Die!","Wolfenstein 3D - Episode 3: Die, Fuhrer, Die!",178,1992,29,8,Game Boy Advance,First-person shooter,,id Software,
Wolfenstein 3D,Episode 4: A Dark Secret,Wolfenstein 3D - Episode 4: A Dark Secret,224,1992,29,7,Game Boy Advance,First-person shooter,,id Software,
Wolfenstein 3D,Episode 5: Trail of a Madman,Wolfenstein 3D - Episode 5: Trail of a Madman,172,1992,29,6,Game Boy Advance,First-person shooter,,id Software,
Wolfenstein 3D,Episode 6: Confrontation,Wolfenstein 3D - Episode 6: Confrontation,343,1992,29,6,Game Boy Advance,First-person shooter,,id Software,
Wolfenstein 3D,All Episodes,Wolfenstein 3D - All Episodes,2042,1992,29,3,Game Boy Advance,First-person shooter,,id Software,
Chip 'N Dale: Rescue Rangers,Any%,Chip 'N Dale: Rescue Rangers - Any%,585.9,1990,31,343,Nintendo Entertainment System,,,,
Chip 'N Dale: Rescue Rangers,All Zones,Chip 'N Dale: Rescue Rangers - All Zones,757.533,1990,31,83,Nintendo Entertainment System,,,,
Chip 'N Dale: Rescue Rangers,Any% Co-op,Chip 'N Dale: Rescue Rangers - Any% Co-op,561.667,1990,31,18,Nintendo Entertainment System,,,,
Chip 'N Dale: Rescue Rangers,All Zones Co-op,Chip 'N Dale: Rescue Rangers - All Zones Co-op,727,1990,31,4,Nintendo Entertainment System,,,,
Muramasa: The Demon Blade,Any%,Muramasa: The Demon Blade - Any%,1653,2009,12,12,PlayStation Vita,,,,
Mega Man X6,All Stages,Mega Man X6 - All Stages,2449,2001,20,56,GameCube,,,Capcom Production Studio 3,Capcom
Mega Man X6,Any%,Mega Man X6 - Any%,1858,2001,20,16,GameCube,,,Capcom Production Studio 3,Capcom
Mega Man X6,100%,Mega Man X6 - 100%,4155,2001,20,10,GameCube,,,Capcom Production Studio 3,Capcom
Clock Tower 3,Normal Mode,Clock Tower 3 - Normal Mode,4672,2002,19,19,PlayStation 2,,,,
Clock Tower 3,Normal Mode/100%,Clock Tower 3 - Normal Mode/100%,5260,2002,19,5,PlayStation 2,,,,
Clock Tower 3,Clear Mode,Clock Tower 3 - Clear Mode,4893,2002,19,7,PlayStation 2,,,,
Clock Tower 3,Clear Mode/100%,Clock Tower 3 - Clear Mode/100%,5427,2002,19,4,PlayStation 2,,,,
Final Fantasy Tactics Advance,Any%,Final Fantasy Tactics Advance - Any%,14215,2003,18,21,Game Boy Advance,RPG,,Square,Square
Final Fantasy Tactics Advance,Famfrit,Final Fantasy Tactics Advance - Famfrit,3189,2003,18,21,Game Boy Advance,RPG,,Square,Square
Final Fantasy Tactics Advance,All Missions,Final Fantasy Tactics Advance - All Missions,49707,2003,18,2,Game Boy Advance,RPG,,Square,Square
Sabrina the Teenage Witch: Potion Commotion,Any%,Sabrina the Teenage Witch: Potion Commotion - Any%,1937,2002,19,3,Game Boy Advance,,,,
Pitfall: The Mayan Adventure,Any%,Pitfall: The Mayan Adventure - Any%,623,1994,27,10,Super Nintendo,Platform Game,,Pipe Dream Interactive,Majesco Entertainment
Pitfall: The Mayan Adventure,100%,Pitfall: The Mayan Adventure - 100%,706,1994,27,2,Super Nintendo,Platform Game,,Pipe Dream Interactive,Majesco Entertainment
Dora the Explorer: Super Spies,Any%,Dora the Explorer: Super Spies - Any%,1352,2003,18,5,Game Boy Advance,,,,
Dora the Explorer: Super Spies,100%,Dora the Explorer: Super Spies - 100%,1352,2003,18,0,Game Boy Advance,,,,
Platoon,Any%,Platoon - Any%,479,1988,33,4,Nintendo Entertainment System,,,,
Crash 'n' the Boys: Street Challenge,Any%,Crash 'n' the Boys: Street Challenge - Any%,577,1982,39,8,Nintendo Entertainment System,,,,
Crash 'n' the Boys: Street Challenge,Deathless,Crash 'n' the Boys: Street Challenge - Deathless,725,1982,39,5,Nintendo Entertainment System,,,,
Ghostbusters 2,Any%,Ghostbusters 2 - Any%,776,1990,31,3,Nintendo Entertainment System,,,,
Jungle Hunt,Any%,Jungle Hunt - Any%,120.71,1982,39,14,Atari 2600,,,,
Metal Gear Solid: VR Missions,100% (MGS: VR/Special Missions),Metal Gear Solid: VR Missions - 100% (MGS: VR/Special Missions),9051,1999,22,1,PlayStation 2,Action-adventure,,Konami Computer Entertainment Japan,Konami
Metal Gear Solid: VR Missions,Time Attack Only (MGS: VR/Special Missions),Metal Gear Solid: VR Missions - Time Attack Only (MGS: VR/Special Missions),6466,1999,22,1,PlayStation 2,Action-adventure,,Konami Computer Entertainment Japan,Konami
